id;district_id;place_name;street_address;address_locality;created_at;updated_at;deleted_at
445;190301;El Pacaicito;NULL;OXAPAMPA - PASCO;3/05/2024 10:48;3/05/2024 10:48;NULL
446;21801;Centro de Convenciones Uladech;NULL;CHIMBOTE - ÁNCASH;4/05/2024 06:54;4/05/2024 06:54;NULL
447;130101;El Estribo Internacional;Jr. San Martin 809 - Centro de Trujillo;Jr. San Martin 809 - Centro de Trujillo - TRUJILLO - LA LIBERTAD;4/05/2024 07:03;4/05/2024 07:03;NULL
448;140301;La Vicharra;Prolongación Monsalve Baca;Prolongación Monsalve Baca - LAMBAYEQUE;6/05/2024 11:59;6/05/2024 11:59;NULL
449;200101;Fundo Elio;"KM. 3 Carretera ""Los Ejidos";"KM. 3 Carretera ""Los Ejidos - PIURA";7/05/2024 07:06;7/05/2024 07:07;7/05/2024 07:07
450;40701;Explanada del Castillo Forga;NULL;MOLLENDO - AREQUIPA;9/05/2024 10:41;1/03/2025 09:39;NULL
451;40702;Explanada del Castillo Forja;NULL;COCACHACRA - AREQUIPA;9/05/2024 11:47;10/05/2024 10:30;NULL
452;250101;RECREO MAKAMBO;NULL;CALLERIA - UCAYALI;10/05/2024 07:12;10/05/2024 07:12;NULL
453;220601;Concha Acústica Juanjui;NULL;JUANJUÍ - SAN MARTÍN;10/05/2024 08:13;10/05/2024 08:13;NULL
454;100601;Playa Tingo;TINGO MARÍA;TINGO MARÍA - RUPA-RUPA - HUÁNUCO;10/05/2024 10:58;15/05/2025 13:29;NULL
455;60101;Coliseo Qhapac Ñan;NULL;CAJAMARCA;13/05/2024 04:47;13/05/2024 04:47;NULL
456;80101;Hacienda LLaullipata;NULL;CUSCO;13/05/2024 05:21;20/05/2024 13:44;NULL
457;200101;Estadio Municipal de Curamori;NULL;PIURA;15/05/2024 05:47;15/05/2024 05:47;NULL
458;200101;Fundo Stewart;NULL;PIURA;15/05/2024 07:14;15/05/2024 07:14;NULL
459;20101;Real Hotel Huascarán;Av. Centenario N° 1160;Av. Centenario N° 1160 - HUARAZ - ÁNCASH;16/05/2024 04:14;16/05/2024 04:14;NULL
460;120601;EL ENCANTO DE LA SELVA TZANCUVATZIARI;ALEJANDRO ALIAGA S/N;ALEJANDRO ALIAGA S/N - SATIPO - JUNÍN;17/05/2024 05:03;17/05/2024 05:03;NULL
461;150117;Estadio Guadalupano;A una cuadra de Plaza Norte;A una cuadra de Plaza Norte - LOS OLIVOS - LIMA;20/05/2024 06:06;21/10/2025 15:43;NULL
462;150119;Green Arena;Carretera Panamericana Sur Km 29.50;Carretera Panamericana Sur Km 29.50 - LURIN - LIMA;20/05/2024 09:22;22/05/2024 11:24;NULL
463;150101;Cementerio Presbítero Maestro;Av. Ancash 1611;Av. Ancash 1611 - LIMA;21/05/2024 06:09;21/05/2024 06:09;NULL
464;40520;Complejo Deportivo Los Palitos;NULL;MAJES - AREQUIPA;21/05/2024 12:20;21/05/2024 12:20;NULL
465;150130;Disco Mandarin Club;Av. Javier Prado Este 1860;Av. Javier Prado Este 1860 - SAN BORJA - LIMA;22/05/2024 10:37;22/05/2024 10:37;NULL
466;100101;Rinconcito Huanuqueño;Jirón 2 de Mayo;Jirón 2 de Mayo - HUANUCO - HUÁNUCO;23/05/2024 07:25;23/05/2024 07:25;NULL
467;120107;Finca Madero;Calle Real 2315;Calle Real 2315 - CHILCA - JUNÍN;24/05/2024 05:24;24/05/2024 05:24;NULL
468;150103;Centro Provincial Carhuaz;Los Canarios 429;Los Canarios 429 - ATE - LIMA;24/05/2024 12:21;24/05/2024 12:21;NULL
469;70106;Estadio Municipal Facundo Ramírez Aguilar;NULL;VENTANILLA - CALLAO;25/05/2024 04:32;12/08/2024 11:38;NULL
470;230101;Casa Blanca;Av. Cristo Rey 220;Av. Cristo Rey 220 - TACNA;28/05/2024 07:55;28/05/2024 07:55;NULL
471;160101;Los Bungalows de Pampachica;Guardia Civil 1910;Guardia Civil 1910 - IQUITOS - LORETO;28/05/2024 11:21;28/05/2024 11:21;NULL
472;50104;Recreo Las Vegas;Av. Los Libertados 302;Av. Los Libertados 302 - CARMEN ALTO - AYACUCHO;29/05/2024 05:08;29/05/2024 05:08;NULL
473;150132;Explanada del Mercado Sarita Colonia;NULL;SAN JUAN DE LURIGANCHO - LIMA;29/05/2024 05:29;29/05/2024 05:29;NULL
474;20801;Explanada El Encanto de mi Tierra;NULL;CASMA - ÁNCASH;29/05/2024 15:34;29/05/2024 15:34;NULL
475;240101;Hotel Sol y Palmeras;NULL;TUMBES;31/05/2024 04:53;31/05/2024 04:53;NULL
476;240101;Sol y Palmeras;NULL;TUMBES;31/05/2024 04:54;31/05/2024 04:54;NULL
477;200107;Estadio 27 de Julio;NULL;CURA MORI - PIURA;3/06/2024 08:16;3/06/2024 08:16;NULL
